date,category,quantity
2026-04-23,GLORIA,80.0
2026-04-23,NATURA,14.0
2026-04-23,BOMBONES,62.0
2026-04-23,BB,1.0
2026-04-23,TURBO,91.0
2026-04-23,PEZIDURE,14.0
2026-04-23,OTROS,10.0
2026-04-23,SUBLIME,4.0
2026-04-24,GLORIA,80.0
2026-04-24,NATURA,14.0
2026-04-24,BOMBONES,62.0
2026-04-24,BB,1.0
2026-04-24,TURBO,91.0
2026-04-24,PEZIDURE,14.0
2026-04-24,OTROS,10.0
2026-04-24,SUBLIME,4.0
2026-04-25,GLORIA,80.0
2026-04-25,NATURA,14.0
2026-04-25,BOMBONES,62.0
2026-04-25,BB,1.0
2026-04-25,TURBO,91.0
2026-04-25,PEZIDURE,14.0
2026-04-25,OTROS,10.0
2026-04-25,SUBLIME,4.0
2026-04-26,GLORIA,80.0
2026-04-26,NATURA,14.0
2026-04-26,BOMBONES,62.0
2026-04-26,BB,1.0
2026-04-26,TURBO,91.0
2026-04-26,PEZIDURE,14.0
2026-04-26,OTROS,10.0
2026-04-26,SUBLIME,4.0
2026-04-27,GLORIA,80.0
2026-04-27,NATURA,14.0
2026-04-27,BOMBONES,62.0
2026-04-27,BB,1.0
2026-04-27,TURBO,91.0
2026-04-27,PEZIDURE,14.0
2026-04-27,OTROS,10.0
2026-04-27,SUBLIME,4.0
2026-04-28,GLORIA,80.0
2026-04-28,NATURA,14.0
2026-04-28,BOMBONES,62.0
2026-04-28,BB,1.0
2026-04-28,TURBO,91.0
2026-04-28,PEZIDURE,14.0
2026-04-28,OTROS,10.0
2026-04-28,SUBLIME,4.0
